STS	NMB	LNK	SYM	STY	MKT	EFT	SDE	PRC	SIZ	TRM	OPD	HDI	VER	DCV	TPA	TGP	BOK	ODT	IND	TRD	RGR	STD	STT	CLR	BRK	MBR	ACC	ACT	TOB	TOU	GRS	BNK	BKA	UTY	UTI	UUI	UWS	REF	CSQ	MKP	SSL	PRT	IAC	OQY	CQY	LQY	APX	LPX	OST	CLI	OCL	TXT	ROL	OSQ	IWF	IAL	EWF	EAL	DEA
0	37253101	0	BKDOWTS53	STR-PRD	RGSP	2018-09-12 17:04:33.33	2	3.150000	880	1	20180912	0	0	0	1	0.000000	1	1	0	16765968	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-12 17:04:33.334	UK8GW3	192.168.252.2		0	0	0	3	1031634	1000	1000	880	3.150000	3.150000	2				0	230459632	0	N	3	N	N
1	37253101	0	BKDOWTS53	STR-PRD	RGSP	2018-09-12 17:04:33.33	2	3.150000	880	1	20180912	0	0	0	1	0.000000	1	1	0	16765967	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-12 17:04:33.333	UK8GW3	192.168.252.2		0	0	0	3	1031634	1000	120	20	3.150000	3.150000	1				0	230459630	0	N	3	N	N
1	37253101	0	BKDOWTS53	STR-PRD	RGSP	2018-09-12 17:04:33.33	2	3.150000	900	1	20180912	0	0	0	1	0.000000	1	1	0	16765966	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-12 17:04:33.331	UK8GW3	192.168.252.2		0	0	0	3	1031634	1000	100	100	3.150000	3.150000	1				0	230459628	0	N	3	N	N
1	37253529	0	BKDOWTS53	STR-PRD	RGSP	2018-09-12 18:14:07.897	2	3.030000	2000	1	20180912	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-12 18:14:07.897	UK8GW3	192.168.252.2		136589	0	0	3	1031634	2000	0	0	0.000000	0.000000	0				0	230533030	0	N	3	N	N
0	37252977	0	BKDOWTS53	STR-PRD	RGSP	2018-09-12 16:34:04.72	2	3.250000	1000	1	20180912	0	0	0	1	0.000000	1	1	0	16765895	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-12 16:34:56.385	UK8GW3	192.168.252.2		0	0	0	3	1031634	1000	1000	1000	3.250000	3.250000	2				0	230428124	0	N	3	N	N
1	37253530	0	BKDOWTS53	STR-PRD	RGSP	2018-09-12 18:14:36.02	2	3.040000	2000	1	20180912	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-12 18:14:36.02	UK8GW3	192.168.252.2		136590	0	0	3	1031634	2000	0	0	0.000000	0.000000	0				0	230533911	0	N	3	N	N
0	37253529	0	BKDOWTS53	STR-PRD	RGSP	2018-09-12 18:14:07.897	2	3.030000	2000	1	20180912	0	0	0	1	0.000000	1	1	0	16766298	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-12 18:14:07.897	UK8GW3	192.168.252.2		0	0	0	3	1031634	2000	2000	2000	3.040000	3.040000	2				0	230533032	0	N	3	N	N
0	37252742	0	BKDOWTS58	STR-PRD	RGSP	2018-09-12 15:34:48.099	1	2.000000	500	1	20180912	0	0	0	1	0.000000	1	1	0	16766299	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-12 18:14:26.148	UK8GW3	192.168.252.2		0	0	0	3	1032741	500	500	500	2.000000	2.000000	2				0	230533590	0	N	3	N	N
1	37250798	0	BKDOWTS58	STR-PRD	RGSP	2018-09-12 10:33:51.929	1	2.250000	100	1	20180912	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-12 10:33:51.929	UK8GW3	192.168.252.2		136397	0	0	3	1240	100	0	0	0.000000	0.000000	0				0	230256747	0	N	-115	N	N
0	37250798	0	BKDOWTS58	STR-PRD	RGSP	2018-09-12 10:33:51.929	1	2.250000	100	1	20180912	0	0	0	1	0.000000	1	1	0	16764774	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-12 10:33:51.93	UK8GW3	192.168.252.2		0	0	0	3	1240	100	100	100	2.250000	2.250000	2				0	230256748	0	N	-115	N	N
1	37252742	0	BKDOWTS58	STR-PRD	RGSP	2018-09-12 15:31:28.453	1	2.250000	500	1	20180912	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-12 15:31:28.453	UK8GW3	192.168.252.2		136514	0	0	3	1032741	500	0	0	0.000000	0.000000	0				0	230399079	0	N	3	N	N
1	37252742	0	BKDOWTS58	STR-PRD	RGSP	2018-09-12 15:34:48.099	1	2.000000	500	1	20180912	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-12 15:34:48.099	UK8GW3	192.168.252.2		136516	0	0	3	1032741	500	0	0	0.000000	0.000000	0				0	230400569	0	N	3	N	N
0	37253564	0	BKDOWTS58	STR-PRD	RGSP	2018-09-12 18:27:12.071	1	1.780000	300	1	20180912	0	0	0	1	0.000000	1	1	0	16766348	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-12 18:30:00.347	UK8GW3	192.168.252.2		0	0	0	3	1032741	500	500	300	1.760000	1.760000	2				0	230561591	0	N	3	N	N
1	37253564	0	BKDOWTS58	STR-PRD	RGSP	2018-09-12 18:27:12.071	1	1.780000	300	1	20180912	0	0	0	1	0.000000	1	1	0	16766347	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-12 18:30:00.34	UK8GW3	192.168.252.2		0	0	0	3	1032741	500	200	200	1.760000	1.760000	1				0	230561589	0	N	3	N	N
1	37253564	0	BKDOWTS58	STR-PRD	RGSP	2018-09-12 18:27:12.071	1	1.780000	500	1	20180912	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-12 18:27:12.071	UK8GW3	192.168.252.2		136592	0	0	3	1032741	500	0	0	0.000000	0.000000	0				0	230556069	0	N	3	N	N
1	37253440	0	BKTLVTL4	STR-PRD	RGSP	2018-09-12 17:54:50.53	1	0.591000	3000	1	20180912	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-12 17:54:50.53	UK8GW3	192.168.252.2		136579	0	0	3	1032741	3000	0	0	0.000000	0.000000	0				0	230512125	0	N	3	N	N
